step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.30464303493499756,5.727783203125,0.796419084072113,7.056849002838135,0.0003,63,98,72,72.666664,36.833332,0,6,17680.57,8,25.679325,0,88.34979059793685,836,7.2272124,442.79044
1,0.36561307311058044,5.079633712768555,0.8270617127418518,5.728846549987793,0.0003,63,107,72,77.57143,39.285713,0,6,17735.129,11,61.91137,0,88.34977257433545,836,7.2564416,466.82376
2,0.3516191244125366,4.8337554931640625,0.8227715492248535,5.199432849884033,0.0003,63,107,72,77.57143,39.285713,0,7,17622.652,10,61.71701,0,88.34979832233743,845,7.2564416,466.82376
3,0.36990633606910706,5.706748962402344,0.794137716293335,5.996658802032471,0.0003,63,107,72,77.57143,39.285713,0,7,17582.512,8,61.564262,0,88.34979574753724,845,7.2564416,466.82376
4,0.3000796139240265,3.779547929763794,0.7637400031089783,3.588059902191162,0.0003,63,107,72,77.57143,39.285713,0,7,17466.855,11,60.632248,0,88.34979574753724,845,7.2564416,466.82376
step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.2860284447669983,5.600109577178955,0.8068891763687134,6.560066223144531,0.0003,58,253,78,129.2,65.1,1,5,24950.848,0,53.8307,0,88.12465521816088,849,7.2012453,1075.0149
1,0.27591437101364136,5.561488151550293,0.791241466999054,6.189766883850098,0.0003,58,253,78,119,60,1,5,25006.57,0,67.41176,0,88.12465779296109,849,7.201795,1087.6576
2,0.376323938369751,5.726502418518066,0.7838407158851624,6.134437084197998,0.0003,58,253,78,119,60,1,6,25004.563,0,68.29633,0,88.12465521816088,848,7.201795,1087.6576
3,0.2488298863172531,4.702472686767578,0.7802641987800598,4.787640571594238,0.0003,58,253,78,119,60,1,6,24939.543,0,68.30179,0,88.12466551736169,849,7.201795,1087.6576
4,0.26424962282180786,5.634427070617676,0.8130849599838257,5.409125328063965,0.0003,58,253,78,119,60,1,6,25061.16,0,68.880455,0,88.12466809216188,848,7.201795,1087.6576
step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.31439560651779175,3.4211509227752686,0.7071714401245117,3.8764398097991943,0.0003,57,146,67,84.57143,42.785713,0,7,11300.582,8,22.323727,0,88.73233896266191,677,7.213662,408.61835
1,0.2803798317909241,5.0343451499938965,0.7931674718856812,5.635308265686035,0.0003,57,146,67,84.57143,42.785713,0,7,11419.387,8,61.321144,0,88.73233896266191,685,7.213662,408.61835
2,0.3616502583026886,5.238713264465332,0.7943328022956848,5.627735614776611,0.0003,57,146,67,84.57143,42.785713,0,7,11392.719,11,61.77618,0,88.73233896266191,677,7.213662,408.61835
3,0.30046382546424866,3.736612319946289,0.7273646593093872,3.704181671142578,0.0003,57,146,67,84.57143,42.785713,0,7,11387.203,10,61.511837,0,88.73234153746212,679,7.213662,408.61835
4,0.33973240852355957,4.918954372406006,0.8016062378883362,4.820013999938965,0.0003,57,146,67,84.57143,42.785713,0,7,11323.777,13,61.6196,0,88.73226429345615,683,7.213662,408.61835
