step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.3439793884754181,4.545859336853027,0.7359644174575806,5.171762466430664,0.0003,46,224,99,117.333336,59.166668,1,6,37326.477,8,69.6549,0,88.41385677648147,817,4.9004045,597.9073
1,0.266849547624588,5.34475040435791,0.7449932098388672,4.649202346801758,0.0003,46,224,99,120.28571,60.642857,1,6,37338.17,8,81.36862,0,88.41394946928862,809,4.9172297,983.1455
2,0.2988574802875519,4.6075215339660645,0.7319666147232056,3.159564971923828,0.0003,46,224,99,115.5,58.25,1,7,37481.87,8,82.71877,0,88.41378210727571,807,4.913425,1576.7598
3,0.29374435544013977,4.82015323638916,0.7459597587585449,2.745309352874756,0.0003,46,246,99,130,65.5,1,8,37578.098,8,81.88062,0,88.41390054808484,816,4.923044,1970.992
4,0.28060492873191833,4.464702606201172,0.752453088760376,2.2781684398651123,0.0003,46,246,99,130,65.5,1,9,37453.91,8,80.57484,0,88.41389024888406,818,4.923044,1970.992
step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.3977425992488861,5.710819721221924,0.8355409502983093,6.665044784545898,0.0003,59,294,101,122.14286,61.57143,1,6,44479.14,8,74.306076,0,88.12493844618275,841,4.923561,1106.2639
1,0.2247236967086792,4.107959270477295,0.7704364061355591,3.335552930831909,0.0003,59,294,101,122.14286,61.57143,1,7,44693.863,8,86.591866,0,88.12495646978414,841,4.923561,1106.2639
2,0.2958765923976898,5.473095893859863,0.7966330051422119,3.7712323665618896,0.0003,59,294,101,122.14286,61.57143,1,7,44859.19,8,84.39004,0,88.12492042258135,841,4.923561,1106.2639
3,0.2966645658016205,5.203453540802002,0.7137534618377686,3.057619571685791,0.0003,59,294,101,119.888885,60.444443,1,7,60359.31,9,88.61757,0,88.12507491059328,850,4.9324307,2873.4702
4,0.17478647828102112,3.6278579235076904,0.6035816669464111,1.853958010673523,0.0003,59,294,101,119.888885,60.444443,1,9,60382.566,10,95.65944,0,88.12511353259626,850,4.9324307,2873.4702
step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.31688815355300903,5.672769069671631,0.8076232075691223,6.456751823425293,0.0003,74,259,103,128.16667,64.583336,2,6,31123.773,8,69.657074,0,88.73232608866093,663,4.8748603,527.6028
1,0.26534441113471985,5.62925910949707,0.7492916584014893,4.717525482177734,0.0003,74,259,103,128.16667,64.583336,2,6,31144.941,11,80.58503,0,88.73229004145816,660,4.8748603,527.6028
2,0.23963138461112976,5.569516658782959,0.7097419500350952,3.6974992752075195,0.0003,73,259,90,120.28571,60.642857,1,6,31217.11,7,80.253426,0,88.73220249825138,658,4.8829966,1333.6096
3,0.28942978382110596,5.2532148361206055,0.7087340354919434,2.9927821159362793,0.0003,58,259,78,107.111115,54.055557,1,7,31093.176,8,80.43549,0,88.73215357704761,658,4.902815,3038.2935
4,0.28787529468536377,5.001088619232178,0.7403246760368347,2.5003674030303955,0.0003,58,259,78,107.111115,54.055557,1,9,31225.945,16,80.403496,0,88.73222567145318,658,4.902815,3038.2935
step,total_loss,policy_loss,value_loss,value_prefix_loss,lr,game_score_min,game_score_max,game_score_med,game_score_mean,winrate_mean,game_lines_cleared,game_count,ram_usage_mb,gpu_usage_pct,cpu_usage_pct,io_usage,disk_usage_pct,vram_usage_mb,mcts_depth_mean,mcts_search_time_mean
0,0.2139606475830078,3.781947135925293,0.7651991248130798,4.268810749053955,0.0003,58,167,70,82,41.5,0,6,58286.957,10,69.5431,0,61.10750589017731,847,4.9569383,1021.8876
1,0.25250452756881714,5.475978851318359,0.7301284670829773,4.765326499938965,0.0003,58,167,70,82,41.5,0,7,57872.316,14,82.80518,0,61.107199488953654,889,4.9569383,1021.8876
2,0.25403866171836853,3.985046863555908,0.5945549607276917,2.6143977642059326,0.0003,58,167,70,83.916664,42.458332,0,7,57055.336,0,80.35949,0,61.10747241777472,850,4.977183,2846.0886
3,0.16293896734714508,3.60394024848938,0.6017297506332397,2.114074468612671,0.0003,58,167,69,78.75,39.875,0,12,56463.438,8,77.32307,0,61.10757283498247,851,4.982218,2541.166
4,0.266239196062088,4.518120288848877,0.6829506754875183,2.3192737102508545,0.0003,53,167,67,77.318184,39.159092,0,16,56291.7,23,77.578316,0,61.10767325219022,903,4.9766297,2298.1533
